,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,381.7,153.8,222.9,143.6,241,193.2,149.6,334.6,334.8,299.3,779.5,425.4,560.9,714.6,685.4,538.8,"1,681.50",712.6,245
Australia,"3,058.70","4,205.50","3,663.50","3,943.10","4,459.60","4,635.60","4,207.90","4,486.40","4,809.20","4,639.70","4,267.60","5,381.20","4,608.20","5,149.60","4,148.30","4,551.10","4,239.10","3,920.00",618.4
Austria,560.2,715.2,495.8,573.3,776,611.5,757.2,759.7,723.1,869.1,834,621.9,705.2,700.9,782.7,572.6,603.8,641.3,36.2
Bahrain,,,,,,,,,,99.8,143.6,205.8,180.6,130.6,184.3,195.8,253.7,215.2,26.2
Belgium,866.1,816.8,"1,134.20",858.9,"1,212.90","1,060.00",961.9,"1,291.70","1,634.80","1,139.50","1,336.60","1,512.50","1,683.10","1,417.70","1,514.50","1,484.80","1,480.70","1,385.70",237.3
Brazil,796.5,812.6,853.1,996.6,"1,353.60","1,388.20","1,570.20","1,386.40","1,337.50","1,615.20","1,602.00","1,605.30","2,126.70","1,975.60","1,251.70","1,467.30","1,336.40","1,624.40",465.4
Bulgaria,,,,,,,686.6,378.3,356.4,708.4,598.6,318.2,972.5,471,813.8,687,829.5,824,78.8
Canada,"2,092.60","1,892.90","2,281.90","2,059.00","2,592.30","2,594.10","2,787.10","2,238.90","2,605.70","2,475.10","2,423.10","2,502.90","2,251.40","2,188.40","2,832.60","2,875.70","2,613.10","3,102.80",300.4
Chile,,,,,,,,,,122.1,73.1,132.4,190.6,133.8,192.7,241.9,179.3,251.5,16.2
China,289.8,305.8,598.7,585.7,488.1,540.9,518.5,393.8,780.5,576.7,"1,005.10",813.4,860.4,"1,461.00","1,793.10","2,270.00","2,555.30","5,103.10",541.3
Czech Republic,647.6,526.5,624.3,598.3,974.2,842.6,761.6,805.9,545.5,650.6,723.7,865.1,744.7,"1,375.30","1,033.20",634.2,659.3,861,236.4
Denmark,888.1,911,984.4,"1,417.70","1,128.10","1,264.60","1,080.30","1,247.60","1,055.60","1,416.30","1,427.40","1,438.50","1,159.50","1,602.70","1,528.50","1,529.70","1,701.10","1,309.80",186.7
Egypt,264.6,215.9,224.2,282.7,334.8,194.6,326.7,302.2,327.2,229.3,318,316.7,333.1,413.9,419.8,190.4,193.1,253.8,89.3
Finland,489.6,300.8,395.9,415.2,520.4,403.7,411.1,350.4,439.3,611.6,598.4,774.7,817.5,737.4,630,647,443.2,404.1,120.7
France,"4,475.60","5,136.40","5,810.00","5,887.20","7,323.00","6,524.10","6,580.50","6,395.80","6,639.50","6,603.60","7,130.30","7,596.60","8,688.80","8,875.60","8,371.00","8,743.90","8,074.10","6,871.00","1,240.90"
Germany,"3,954.60","4,475.30","4,886.70","5,757.90","5,607.80","4,732.00","4,665.00","4,216.90","5,736.00","5,691.40","5,060.70","5,705.20","6,306.50","6,021.90","6,333.00","5,705.90","5,506.50","5,697.00",862.2
Greece,694.8,648.1,767.2,685.6,619.7,498.1,946.2,609.2,735.4,893.2,618.9,780.4,"1,084.40","1,289.50",748,853,457,804.2,214.7
Hong Kong,600.7,488.8,475.6,482,502.6,512.6,553.2,566.1,565,766.2,618.2,688.8,844.1,977.5,"1,142.10","1,325.20","5,027.10","1,667.80",171.3
Hungary,243.4,"1,022.30",757.5,"1,162.00",981.8,786.4,660.8,875.3,367,920.1,739.8,735,822.2,452.5,625.7,924.6,"1,220.20",564.1,78.8
Iceland,298,90.9,186.8,149,144.4,170.5,79.4,108,77.8,105.3,95.8,116.2,101.9,109.4,186.4,282.4,152,87.5,15.9
India,"2,140.00","2,063.00","2,566.60","2,721.20","3,321.50","3,918.10","2,874.70","2,662.40","4,021.00","3,579.10","3,436.80","3,941.50","3,508.60","3,769.30","4,111.60","4,863.00","5,397.80","5,056.80",889.4
Indonesia,,,,,,,,,,183.5,117,125.3,126.9,190.1,196.2,300.7,231,250,22.6
Irish Republic,"2,436.70","2,301.10","2,702.10","2,880.70","2,663.90","2,549.30","2,600.50","2,120.90","2,434.30","2,686.10","2,562.90","2,378.50","2,419.10","2,900.20","3,049.80","2,983.50","2,129.50","2,410.30",849.7
Israel,911.7,782,859.6,807.9,964.3,581.8,740.1,727.6,779.5,745.2,634.5,762.6,936.4,"1,000.20",866.3,"1,327.60","1,441.00","1,298.60",164.6
Italy,"3,400.50","3,957.10","5,234.60","3,490.90","5,122.60","5,028.60","5,346.80","4,471.70","5,392.10","5,289.00","5,336.90","5,951.90","8,484.10","6,536.50","6,682.20","5,696.30","4,084.80","7,254.20","1,725.40"
Japan,"1,983.70","1,427.50","1,680.50","1,840.90","1,528.90","1,271.80",950.6,"1,578.10","1,051.30",900.9,"1,821.50","1,186.00",857.5,"1,027.50","1,069.50","1,168.00","1,204.50","1,585.00",311
Kenya,580.4,431.2,363.5,237.6,266.9,92.7,400.4,229.3,169,210.8,243.8,301.2,194.3,391.2,289.6,400,168.6,251.2,22.5
Kuwait,465.5,623.8,658,460.7,602.6,808.3,485.8,734.6,511.7,747.5,707.7,"1,302.50","1,682.80","1,219.20",855.4,"1,231.40","1,038.00","1,323.80",176.7
Luxembourg,75.4,36.6,146.7,96.4,70.5,94.5,184.8,62.5,88.5,181.5,115.2,160.1,168.3,266.8,162.4,194,308.5,205.6,0.7
Malaysia,581.6,373,439.6,410.1,632.6,362.9,443.2,"1,262.80",581.5,658.5,637.9,"1,032.50",807.4,899,816,870.6,826.6,775.9,151.5
Mexico,363.6,281.2,"2,283.90",418.9,562.5,347.5,322.7,428.2,223.9,419.7,363.1,569.6,434.3,439.9,402.4,571.4,484,703.9,114.6
Netherlands,"2,299.60","2,439.90","1,936.40","2,029.90","2,057.60","1,980.80","2,111.10","2,409.80","2,238.50","2,412.00","2,440.80","2,470.50","2,298.40","2,341.30","2,939.50","2,783.50","2,072.40","2,247.90",468.5
New Zealand,755.2,903.5,822.8,"1,247.70","1,063.50","1,086.10","1,073.30",977.6,810.5,875.2,893.9,669.7,"1,088.20","1,213.30",898.8,976.1,749.1,746.2,188.7
Nigeria,"1,379.20","1,371.50","1,760.50","2,653.90","2,198.50","2,282.50","1,715.40","1,464.20","1,659.90","1,451.60","1,402.90","1,270.90","1,238.20","1,740.30",999.6,"1,115.40",932.9,"1,857.10",464.7
Norway,768.8,665.8,817.9,"1,065.10","1,106.10","1,164.70","1,240.10","1,192.10","1,304.70","1,500.80","1,364.70","2,009.70","1,719.50","1,645.80","1,429.20","1,190.70","1,577.70","1,140.60",231.2
Oman,,,,,,,,,,129.5,59.2,127.8,80.9,97.2,124.9,196.6,199.8,159.7,4.4
Other Africa,"2,003.90","2,057.50","2,233.20","1,501.60","1,803.70","1,357.70","1,372.80","1,192.50",992.2,"1,027.80","1,238.80","1,410.30","1,304.90","1,001.00","1,068.70","1,331.90","1,071.60",852.2,380
Other Asia,954.3,944.3,"1,111.30","1,422.00",675.7,"1,196.30","1,011.70",971.7,"1,234.30",989.4,996.2,866.6,"1,445.90","1,210.00","1,060.60","1,127.70","1,069.20","1,328.80",230.9
