,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,11.6,11.9,12,9.9,18.1,13.6,11,29.6,34.6,26.8,88.4,48.4,51.2,73.2,65.5,66.2,121,49.8,40.4
Australia,203.4,234.7,240.2,255.6,308,328.5,354.1,411.2,432.9,500.7,469.7,547.1,561.7,506.4,478.9,553.5,452.4,512.8,83.2
Austria,46.2,54.6,40,45.9,54.2,57.5,67,93,85.5,79.4,70.1,67.2,78.9,84.5,87,66.3,65.5,108.5,5.8
Bahrain,,,,,,,,,,20.1,40.4,64.2,36.1,18.3,35.9,61.3,75.4,54.4,5.4
Belgium,70.9,71.8,95.8,76.7,117.4,105.1,98.6,117.9,169.3,130.7,158.6,203.7,175.8,186.3,145.9,192.8,182.1,194.7,31.5
Brazil,52,53.4,38.5,70,76.3,94.2,109,102.2,117.7,209.8,182.9,213.5,197.8,199.4,112.8,186.2,163.4,178.9,53.9
Bulgaria,,,,,,,19.5,43.2,25.7,39.2,26.9,27.9,50.7,28.6,31.8,44.4,49.7,45.3,9.7
Canada,146.7,133.9,209.2,180.3,222,257.4,256.6,192.8,242.4,265.5,270.9,269.6,227.5,241.4,268.6,299.8,296.7,410.7,37.1
Chile,,,,,,,,,,18.8,11.1,25.4,18.7,13.3,27.6,24.2,17.3,32.6,2.8
China,32.4,28.4,41.1,53.1,49,61.3,67.6,55.7,87.7,88.9,142.1,186.9,148.7,310.4,218.5,330.4,382.4,862.7,85.2
Czech Republic,18.1,34.1,31,38.3,37.5,39.7,44.3,50.9,40.5,40.4,47.3,52.1,46.8,57.6,72.3,52.9,53.2,88,20.5
Denmark,73.2,83.8,101.6,114.7,117.8,143.5,137.2,165.9,142.3,159.9,183,196.7,162.6,195.1,217,217.4,233,203,26.4
Egypt,27,26.9,26.4,25.1,32.5,66.9,37.1,48.2,48.1,46.5,45.9,59.1,113.2,63.2,80.7,64.5,30.8,61,15.9
Finland,27.3,26.6,35.1,37.3,42.7,37.9,46.8,48.6,52.3,73.3,73.7,72.7,77.6,86.5,78.4,75.1,61,57.8,13.9
France,296,332.4,322.4,356.5,431,406.4,444.9,472.3,543.7,530.2,744.9,689.1,789,762.8,711.5,753.8,703.5,761.6,147.5
Germany,275.3,290.5,337.5,393.9,405.4,391.9,418.2,353.5,465,480.4,483.3,540,621.9,549.3,618.5,606.5,626.9,707.3,101.4
Greece,76.7,81.5,74.9,71,73.7,109.2,104.7,88.3,81.6,98,65.6,96.5,90.5,115.4,90.8,90.6,50.2,121.6,24
Hong Kong,74.6,60.4,63.8,76,64.3,74.3,76.9,67.2,84.7,104,90.9,137.5,137.7,162.8,155,188.1,298.2,348.1,28.7
Hungary,12.5,20.8,30.1,55.1,38.2,62.6,32.4,51.4,22.9,47.5,43,36.2,31.3,26.2,41,58.3,53.4,62.7,6
Iceland,14.5,14.6,23.9,19.1,32.3,27.7,17,15.4,9.4,14.3,14.9,12.6,12.9,16.2,25.3,54.8,30.4,16.5,1.8
India,81.2,77.7,106.5,107.1,151.5,157.9,148.8,133,213.4,166.8,176.7,224.5,240.2,203.4,258,282.5,313.8,358.1,51.4
Indonesia,,,,,,,,,,18.7,19.2,33.5,22.9,30.6,26.4,34.7,39.6,55.9,3.1
Irish Republic,201.5,173.2,218,250.1,233.2,243.7,244.8,238,256.6,230.2,225.3,228.6,251.3,285.8,371,320.1,213.1,261.9,91.7
Israel,79.5,57.5,54.8,55.8,71.7,71.4,64.3,92.4,72.3,68,70.5,89,88.5,224.6,105.3,181.1,184,205.8,54.7
Italy,199,292.9,292.8,281.2,380,360,475.8,360.5,437.1,544,453.2,504.4,637.9,535.6,563.1,477.8,420.8,732.5,77.2
Japan,176.1,145.7,145.6,165.5,134.1,134.7,102.3,227.4,117.7,110.8,181.8,135.6,162.7,135.4,142.9,173.8,219.1,277.2,43.9
Kenya,48.5,21.9,19,13.6,14.1,6.6,28.7,18,21.8,15.8,28.2,17.6,21.3,21.4,20.8,32,14.5,29.2,1
Kuwait,62.3,72.6,51.2,77.5,84.5,158.5,87.5,106.6,75.2,156.2,248,441,405.2,260.2,171.3,327.5,235.9,309.3,42.6
Luxembourg,8,4.6,14.1,11.3,11.6,10.4,18.2,10.4,8.2,13.9,17.4,27.9,27.5,46,28.3,22.6,36,37,1.2
Malaysia,36.3,35.4,39.5,44.9,44.7,43.3,31.3,95.2,80,63.4,74.2,106.4,96.3,102.2,117.4,104.1,104.7,94.2,22.8
Mexico,27,22,78.9,27.5,50.3,24.5,29.2,36.6,213.3,38.9,28.6,48.8,47.6,41.8,48.9,73.4,55.8,93.1,24.1
Netherlands,155.6,222.2,177.1,187.7,188,208.6,217.9,252.6,264.2,241.5,252,269.5,300.3,275.6,296.2,293.2,259.9,314,45.3
New Zealand,34.2,38.5,49.5,60.4,70.1,83.3,51.2,74.6,62.7,66.6,69.5,48.8,78.4,90.6,73.8,77.3,104.4,66.5,16.1
Nigeria,145.2,108.4,144.5,154.4,170.9,143.5,183.4,151.7,202.3,162,176.1,179.8,166,123.3,114.6,132,111.6,219.1,32
Norway,81.5,77.1,115.8,122.9,144.8,160.6,215.9,191.6,204.3,237.1,235.7,301.7,307.3,241.4,228.2,188.2,229.4,217.8,48.6
Oman,,,,,,,,,,11.1,9.9,85.5,10.2,19.7,24.8,23.8,31.7,46.1,0.4
Other Africa,101.3,89.1,96.1,86.9,71.1,86.2,91.1,101.7,129.3,105,113,156.9,182.1,120.9,80.8,155.7,95.7,101.8,21.3
Other Asia,50.4,38.5,52.3,50.4,42.7,61.1,55.3,42.3,53.4,60.1,68.9,73.8,87.6,122.8,86.4,89.7,84.2,104.1,19.6
Other Central & South America,77.5,65.8,60.2,72.5,74.8,76.4,55.5,76,75,62.2,67.5,98,89.3,78.1,121.9,134.5,102.2,161.3,20
Other Eastern Europe,45,41.8,46.6,147,191.5,247,205,174.9,145.8,190.8,183.4,176.3,136.5,197.3,151.6,229.7,190.5,236.3,31.3
Other Middle East,98.1,88.4,104.8,137.5,134,139.8,152.5,210.9,188.6,100.3,64.1,92,129.3,90.2,100.6,103.1,102,83,19.8
Other Southern Africa,19.3,7.9,5.7,4.9,7.8,8.1,4.4,9.7,4.2,24.1,19.5,12.8,13.3,16.6,13.6,31.9,25.5,19.2,5.6
Other Western Europe,60.2,47.4,61.1,57.6,72.6,74.2,113.1,109.8,71.3,87.4,72.7,99.3,104.6,61.5,148.1,102.5,54.3,120.1,23.2
Pakistan,39,27.2,49,53,68.4,67.5,45.2,40.5,30.5,54.5,44.6,77.3,42.6,41.8,45.6,81.5,45.7,69.7,31
Poland,48.2,67.8,148.2,163.8,277.7,174.8,198.2,146.5,160,140.1,135,175,141.7,167.4,156.5,161.2,140.3,180.5,37.7
Portugal,49.1,38.5,41.4,65.7,41.8,66.4,68.8,66,74.8,76.5,80.7,61.2,86,99.8,123.7,127.6,84.1,210.3,36.8
Qatar,,,,,,,,,,63.5,68.9,155.7,100.1,104.1,126.2,168,127.3,403.8,47.9
Romania,,,,,,,44.9,51.9,71.7,67.4,57.4,100.4,99.1,121.8,194.3,147.5,170.6,209.5,35.9
Russia,119.3,166.5,189.1,105.1,126.5,193.2,113.9,87.8,120.2,234.3,165,168.8,178.5,83.6,78.2,137.8,121.8,111.6,24.7
Saudi Arabia,59.6,47.8,54.2,74.4,87.6,93.7,138,120.2,101.5,175.5,202.8,218.7,250.3,317.3,253,739.1,315.3,492,74.7
Serbia,,,,,,,,,,16.7,16.6,8.9,8.5,9.9,7,11.5,14.9,3.6,3.1
Singapore,32.4,39.9,40.3,35.3,54.7,61.6,62.1,59.3,77.1,105.7,125.5,122.8,144.3,212.4,128.2,173.4,143.4,200,13.2
South Africa,111.2,152.3,97.5,106.5,134.7,124.7,126.5,79.6,106.4,87.5,115.1,131.8,132.1,138.8,111.5,140.2,112.7,126.5,13.8
South Korea,35.8,39.6,40.4,46.3,44.5,64.6,67.5,48.5,50.7,79,66.1,83.3,127.6,82.3,105.2,129,108.4,215.1,25.3
Spain,212,220.6,273.3,268.8,376.4,402.8,381.1,463.8,403.2,436.2,365.6,498.7,508.8,513.2,542.8,555.4,618.6,488.3,86.2
Sweden,113,105.9,120.8,118,143.4,155.7,195.9,146.5,206.8,238,239.7,277.6,325.2,365.2,289.6,276.2,225.1,235.3,34.4
Switzerland,129.7,125.6,138.3,163.9,206.2,184,157.8,202.8,162.2,233.4,337.6,303,308.5,333,378.9,278.2,245.4,282.3,77.4
Taiwan,16,15.6,18.6,16.9,9.9,18.7,19.2,55,21.8,9.2,35.2,34.2,38.9,62.8,28.4,47.4,58.5,158.9,8.2
Thailand,13.7,18.7,23.6,21.3,23,33,18.6,34.3,25.2,43.3,35.3,58.2,30.2,51.9,48.2,54.9,60.6,158.9,29.4
Turkey,31.7,44.5,50.9,60.5,56.7,94.6,62.3,50.9,76.3,73.3,101.5,83.6,100.9,79.7,106.5,72.5,107.3,147.8,46.2
United Arab Emirates,68.7,58.4,95,90.4,107.3,101.2,173.3,184.4,174.2,141.3,286.1,415.7,297.6,301.4,306,434.6,411.6,554.3,103.8
USA,"1,462.30","1,412.30","1,400.70","1,473.20","1,598.60","1,578.10","1,333.40","1,278.80","1,295.30","1,386.60","1,487.00","1,522.30","1,667.50","1,811.10","1,981.80","2,232.10","2,042.70","2,454.80",387.8
Grand Total,"5,787.90","5,869.90","6,439.30","6,858.60","7,821.60","8,192.40","8,125.70","8,238.20","8,741.20","9,411.40","10,074.50","11,495.60","11,825.40","11,919.20","11,868.60","13,546.60","12,329.40","15,725.00","2,555.60"
