,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,14.6,21.5,23.2,20.9,28.4,30.5,20.1,55.4,52.4,61.1,93.7,93.5,92.5,113.3,126.1,107,115.3,96,31.6
Australia,436.9,450.7,477.7,552.6,578.8,595.3,583.7,571.2,624.3,681.3,596.9,687.3,614.9,629,600.4,653.6,588.3,567.6,88.1
Austria,109.5,129,128.7,122.3,140.8,163.7,141.7,168.8,165.9,164.9,153,142.8,145.4,152.7,180.2,148.4,158.4,205.4,9.9
Bahrain,,,,,,,,,,12.1,21.5,23.9,19.2,11.6,17.6,21.2,24,31.1,3.1
Belgium,288.6,306.2,359.2,300.5,342.8,351.1,307.7,349.9,488.8,406.4,470.3,530.7,490.2,529.8,453.7,514,511.7,519.2,86.3
Brazil,64.7,46.1,58.6,65.4,91.5,108.9,150.9,108.4,149.2,211.3,215.2,220,256,259.6,148.8,195.8,191.9,214,68
Bulgaria,,,,,,,44.3,55.7,49.3,52.6,53.9,55.2,71.7,70.3,96,98.3,113,89.2,22.7
Canada,358.3,317.2,368.9,399.2,439.5,478.1,499.7,371.2,389.5,428.8,402.9,434.5,359.2,407.5,445.3,457.5,474.4,499.2,62.8
Chile,,,,,,,,,,18.7,16.7,29,38,31.6,40.9,40.7,28.3,48.3,2.3
China,39.5,42.6,61,58.1,64.8,79.2,60.1,46.7,55.4,80.6,104.1,96.4,98.9,167.1,164.9,219.4,278.5,574.3,57.8
Czech Republic,63.6,79.7,126.1,106.9,112,134.1,169.7,144.8,109.7,108.7,144.6,136.5,134.7,166.3,155.6,148.6,163.4,178.2,38.5
Denmark,191.4,209.8,238.1,286.7,291.3,312.3,298.4,332.2,273.8,340.2,325.7,378.5,339.4,422.7,412.8,407.2,451.7,355,43
Egypt,19.7,25,21.6,19.5,33.6,21.8,31.6,30.5,31,29.9,35,39.1,39.9,38.1,34.1,29.4,23.9,38.2,7.9
Finland,66.3,59.3,78.1,97.5,102.6,99.4,94.9,94.4,103.6,124.5,130.7,134.2,159.4,160.7,161.5,161.9,122.4,113.3,31.1
France,"1,102.90","1,190.90","1,258.10","1,367.30","1,447.50","1,342.40","1,409.90","1,528.20","1,624.30","1,600.50","1,681.30","1,904.00","2,010.00","2,071.40","1,993.40","2,014.70",1834.6,1837.1,375.1
Germany,889.4,891.7,"1,172.90","1,280.90","1,274.70","1,196.60","1,052.40","1,068.90","1,257.40","1,214.50","1,199.10","1,295.30","1,341.10","1,401.20","1,472.80","1,462.30",1452.4,1507.1,246.2
Greece,97.8,96.6,109.8,111.8,102.5,99.6,124.4,116.9,104.5,134.4,92.3,110.8,155.4,147.8,146.6,133.4,103.6,162.1,37.5
Hong Kong,96.1,78.8,82.9,88.9,96.6,85.1,84.5,86.7,84.4,97.9,92.7,99.5,107.5,134.4,145.4,154.8,181,268.4,27.8
Hungary,43.7,45.1,83.5,120.9,119.5,149.1,108.2,102.4,75.6,80.7,104.9,88.2,115.6,95.2,116.8,153.5,189.2,139.7,23.4
Iceland,20.1,23.7,49.8,43,46.7,46.1,32.3,23.7,19.9,24.5,25.4,29,28.5,26.1,37.2,70.5,46.9,26.5,5.5
India,135.2,130.4,160.3,166,229.6,219.7,241.6,177.9,235.9,235.3,231.5,243.6,252.3,275.7,273.4,382.4,367.1,444.6,48.7
Indonesia,,,,,,,,,,19.2,18.5,17.9,22.1,24.8,32.6,36.4,37.1,39.1,3.6
Irish Republic,628.9,623.6,682.8,726.5,718.4,732.3,736.1,690.4,656.6,620.3,595.9,610.6,620.3,793.2,806.4,826.5,649.5,748.5,197.9
Israel,152.7,122.7,127.4,106.9,138.4,102.7,125.7,124.9,122.8,120.5,108.2,141,147.6,164.7,154.4,202.1,231.4,226.3,38.1
Italy,541.6,601.4,765.4,643.7,851.2,837.7,981,747.6,932.2,"1,009.30",962.8,"1,072.20","1,185.70","1,165.10","1,251.50","1,052.00",989.9,1391.7,175.2
Japan,294.5,232.5,265,242.9,245.2,220.1,167.8,180.5,168.2,166.4,177.9,155.3,157.5,151.4,180.3,174.8,192.7,310.1,66.8
Kenya,31.6,19.8,22.1,16.5,15.9,12.7,24.6,14.9,18.5,17.8,20.8,22.3,12.5,22.4,24.5,29.3,19.8,19.6,3.7
Kuwait,31.1,36.2,32.5,33.8,43.6,46.7,35.4,49,41.9,52.8,50.5,105.7,84.3,83.4,91.5,98.2,79.7,138.4,26.5
Luxembourg,23.9,16.9,38.4,25.9,28.2,31.7,35,27.9,26.8,40,40.1,51.2,56.1,78.1,61.3,41,54.8,69.9,1
Malaysia,60.5,46.7,65,52.8,52.7,47,45.6,77.9,89.8,82.5,72,113.4,109.5,126,128.7,123.2,122,135.1,20.2
Mexico,53,57.9,52.2,55,69.5,38.1,50.4,60.7,51.9,62.2,69.8,91.4,72.8,82.2,83,126.9,110.2,145.3,24.5
Netherlands,492.4,619.2,578.3,606.7,659.8,665.3,654.1,683.9,621.2,631.2,637.9,686.7,705.2,690.5,805.6,825.6,695.2,711.7,166.2
New Zealand,82.7,100.5,101.9,121.7,124.5,119.7,103.1,108.8,111.3,95.5,104.5,93.7,106.6,118.4,107.7,112.1,118.9,119.3,9
