LONDON,Visits (000s),,,,,,,,,,,,,,,,,,,Nights (000s),,,,,,,,,,,,,,,,,,,Spend (£m),,,,,,,,,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,,,
Country of origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p
Argentina,14.6,21.5,23.2,20.9,28.4,30.5,20.1,55.4,52.4,61.1,93.7,93.5,92.5,113.3,126.1,107.0,115.3,96.0,31.6,381.7,153.8,222.9,143.6,241.0,193.2,149.6,334.6,334.8,299.3,779.5,425.4,560.9,714.6,685.4,538.8,"1,681.5",712.6,245.0,11.6,11.9,12.0,9.9,18.1,13.6,11.0,29.6,34.6,26.8,88.4,48.4,51.2,73.2,65.5,66.2,121.0,49.8,40.4,39.0,42.0,36.0,34.0,45.0,57.0,32.0,74.0,71.0,70.0,89.0,104.0,108.0,108.0,116.0,108.0,81.0,66.0,40.4
Australia,436.9,450.7,477.7,552.6,578.8,595.3,583.7,571.2,624.3,681.3,596.9,687.3,614.9,629.0,600.4,653.6,588.3,567.6,88.1,"3,058.7","4,205.5","3,663.5","3,943.1","4,459.6","4,635.6","4,207.9","4,486.4","4,809.2","4,639.7","4,267.6","5,381.2","4,608.2","5,149.6","4,148.3","4,551.1","4,239.1","3,920.0",618.4,203.4,234.7,240.2,255.6,308.0,328.5,354.1,411.2,432.9,500.7,469.7,547.1,561.7,506.4,478.9,553.5,452.4,512.8,83.2,1167.0,1105.0,1241.0,1463.0,1396.0,1256.0,998.0,1240.0,1497.0,1187.0,1100.0,1210.0,1015.0,949.0,800.0,861.0,632.0,669.0,83.2
Austria,109.5,129.0,128.7,122.3,140.8,163.7,141.7,168.8,165.9,164.9,153.0,142.8,145.4,152.7,180.2,148.4,158.4,205.4,9.9,560.2,715.2,495.8,573.3,776.0,611.5,757.2,759.7,723.1,869.1,834.0,621.9,705.2,700.9,782.7,572.6,603.8,641.3,36.2,46.2,54.6,40.0,45.9,54.2,57.5,67.0,93.0,85.5,79.4,70.1,67.2,78.9,84.5,87.0,66.3,65.5,108.5,5.8,195.0,162.0,194.0,158.0,192.0,205.0,150.0,244.0,265.0,219.0,190.0,217.0,190.0,195.0,208.0,155.0,128.0,122.0,5.8
Bahrain,,,,,,,,,,12.1,21.5,23.9,19.2,11.6,17.6,21.2,24.0,31.1,3.1,,,,,,,,,,99.8,143.6,205.8,180.6,130.6,184.3,195.8,253.7,215.2,26.2,,,,,,,,,,20.1,40.4,64.2,36.1,18.3,35.9,61.3,75.4,54.4,5.4,,,,,,,,,,20.0,37.0,40.0,38.0,19.0,27.0,35.0,37.0,42.0,5.4
Belgium,288.6,306.2,359.2,300.5,342.8,351.1,307.7,349.9,488.8,406.4,470.3,530.7,490.2,529.8,453.7,514.0,511.7,519.2,86.3,866.1,816.8,"1,134.2",858.9,"1,212.9","1,060.0",961.9,"1,291.7","1,634.8","1,139.5","1,336.6","1,512.5","1,683.1","1,417.7","1,514.5","1,484.8","1,480.7","1,385.7",237.3,70.9,71.8,95.8,76.7,117.4,105.1,98.6,117.9,169.3,130.7,158.6,203.7,175.8,186.3,145.9,192.8,182.1,194.7,31.5,438.0,445.0,571.0,574.0,561.0,472.0,402.0,377.0,446.0,347.0,384.0,448.0,376.0,415.0,350.0,400.0,272.0,267.0,31.5
Brazil,64.7,46.1,58.6,65.4,91.5,108.9,150.9,108.4,149.2,211.3,215.2,220.0,256.0,259.6,148.8,195.8,191.9,214.0,68.0,796.5,812.6,853.1,996.6,"1,353.6","1,388.2","1,570.2","1,386.4","1,337.5","1,615.2","1,602.0","1,605.3","2,126.7","1,975.6","1,251.7","1,467.3","1,336.4","1,624.4",465.4,52.0,53.4,38.5,70.0,76.3,94.2,109.0,102.2,117.7,209.8,182.9,213.5,197.8,199.4,112.8,186.2,163.4,178.9,53.9,132.0,102.0,113.0,144.0,161.0,167.0,160.0,149.0,241.0,258.0,245.0,282.0,270.0,267.0,188.0,223.0,199.0,180.0,53.9
Bulgaria,,,,,,,44.3,55.7,49.3,52.6,53.9,55.2,71.7,70.3,96.0,98.3,113.0,89.2,22.7,,,,,,,686.6,378.3,356.4,708.4,598.6,318.2,972.5,471.0,813.8,687.0,829.5,824.0,78.8,,,,,,,19.5,43.2,25.7,39.2,26.9,27.9,50.7,28.6,31.8,44.4,49.7,45.3,9.7,,,,,,,31.0,54.0,66.0,59.0,62.0,58.0,70.0,59.0,68.0,60.0,41.0,38.0,9.7
Canada,358.3,317.2,368.9,399.2,439.5,478.1,499.7,371.2,389.5,428.8,402.9,434.5,359.2,407.5,445.3,457.5,474.4,499.2,62.8,"2,092.6","1,892.9","2,281.9","2,059.0","2,592.3","2,594.1","2,787.1","2,238.9","2,605.7","2,475.1","2,423.1","2,502.9","2,251.4","2,188.4","2,832.6","2,875.7","2,613.1","3,102.8",300.4,146.7,133.9,209.2,180.3,222.0,257.4,256.6,192.8,242.4,265.5,270.9,269.6,227.5,241.4,268.6,299.8,296.7,410.7,37.1,1011.0,888.0,989.0,1076.0,1073.0,956.0,885.0,933.0,973.0,806.0,811.0,808.0,619.0,555.0,546.0,418.0,391.0,411.0,37.1
Chile,,,,,,,,,,18.7,16.7,29.0,38.0,31.6,40.9,40.7,28.3,48.3,2.3,,,,,,,,,,122.1,73.1,132.4,190.6,133.8,192.7,241.9,179.3,251.5,16.2,,,,,,,,,,18.8,11.1,25.4,18.7,13.3,27.6,24.2,17.3,32.6,2.8,,,,,,,,,,24.0,18.0,33.0,35.0,33.0,44.0,48.0,30.0,38.0,2.8
