Year,Quarter,Total Visits (000s),Total Nights (000s),Total Spend (£m),Sample size
2002,Q1,2194.519118,13863.53796,1084.382545,4900
2002,Q2,2996.205627,17792.93163,1442.622636,5905
2002,Q3,3501.537557,25009.33352,1748.546449,6270
2002,Q4,2911.119741,18736.30735,1512.301891,5284
2003,Q1,2529.72233,15857.777,1178.860037,4826
2003,Q2,2795.592924,17226.63248,1341.678475,5221
2003,Q3,3445.821864,25908.34166,1858.629597,5628
2003,Q4,2924.613367,19953.95552,1490.778114,5231
2004,Q1,2736.403266,15644.98981,1285.789257,5206
2004,Q2,3371.039412,22619.39149,1645.658183,6028
2004,Q3,3868.16858,30362.0005,1834.114033,6204
2004,Q4,3413.719029,21610.93912,1673.713398,5871
2005,Q1,3090.874709,19187.07735,1445.51033,5595
2005,Q2,3704.257871,20957.79492,1707.399077,6465
2005,Q3,3723.463713,28852.39931,1844.329447,6187
2005,Q4,3373.973232,22845.99214,1861.342276,5747
2006,Q1,2992.327591,19337.56523,1474.59438,5227
2006,Q2,4070.894011,24291.65649,1946.648918,6621
2006,Q3,4688.816728,34014.40249,2381.074678,6652
2006,Q4,3840.608271,23424.01316,2019.282121,5706
2007,Q1,3282.938939,20435.79308,1637.425248,5605
2007,Q2,3947.732564,21862.54065,1942.947254,5633
2007,Q3,4343.078365,28972.26274,2461.567096,5318
2007,Q4,3766.021184,24575.54632,2150.466966,5040
2008,Q1,3275.398197,19782.73058,1633.871932,4719
2008,Q2,3915.080621,21158.31703,2070.411886,4676
2008,Q3,4130.338507,29753.50043,2345.695466,4447
2008,Q4,3432.176867,20120.3725,2075.706658,4155
2009,Q1,2991.180136,17325.35641,1643.183315,5135
2009,Q2,3748.283959,21270.96601,2090.521113,6448
2009,Q3,4023.865154,28027.81386,2419.755253,5897
2009,Q4,3447.968563,19061.59572,2084.770232,5595
2010,Q1,2975.000032,16118.45708,1653.570014,5379
2010,Q2,3581.730937,21254.52289,2267.361715,5955
2010,Q3,4285.271092,30519.98419,2460.263176,6507
2010,Q4,3863.539616,22424.95081,2359.977063,5618
2011,Q1,3145.166842,17726.21873,1834.017448,5180
2011,Q2,4018.948604,21806.12724,2259.948857,5489
2011,Q3,4427.02546,31657.41566,2819.221194,4965
2011,Q4,3698.351808,20308.66037,2498.196569,4567
2012,Q1,3238.596637,18711.67233,1884.264608,4464
2012,Q2,4115.636011,22087.13822,2461.57254,5389
2012,Q3,4082.260895,30486.68132,3212.410503,5324
2012,Q4,4024.370703,23014.25356,2516.29573,5204
2013,Q1,3334.13289,18614.82081,2126.948409,4443
2013,Q2,4523.958919,23043.00146,2855.038469,5859
2013,Q3,4819.729032,33250.10985,3373.471667,5919
2013,Q4,4132.937381,23210.85174,3140.09434,5614
2014,Q1,3509.465626,20957.58,2403.714018,4975
2014,Q2,4824.019196,29525.6773,2949.095091,5843
2014,Q3,4945.598666,33971.49359,3627.178942,5123
2014,Q4,4125.132162,23551.72789,2845.424529,4784
2015,Q1,3568.62397,18391.83777,2159.078967,4057
2015,Q2,5140.409483,28091.89083,3167.293359,5538
2015,Q3,5237.745131,35386.47735,3476.289274,5284
2015,Q4,4634.366773,26451.22726,3116.583804,5327
2016,Q1,3871.899721,21978.01117,2278.613424,4714
2016,Q2,4983.304514,28069.2625,2993.283348,5578
2016,Q3,5199.559522,35093.18248,3363.584783,5200
2016,Q4,5004.782141,25917.98746,3233.09238,4308
2017,Q1,4483.669786,23533.91126,2683.310475,4570
2017,Q2,5514.332258,29396.67174,3442.157947,5147
2017,Q3,5242.301766,35039.39178,4386.233629,4982
2017,Q4,4587.512011,26046.49295,3034.015574,3939
2018,Q1,4031.780655,22000.11693,2564.779117,3413
2018,Q2,4936.155022,26268.17209,3076.900829,3683
2018,Q3,5246.846093,33424.60431,3540.189037,3759
2018,Q4,4832.63109,24454.40945,2976.890106,3619
2019,Q1,4555.766215,23915.64164,3122.450694,3042
2019,Q2,5373.786327,28504.29251,3718.874802,3614
2019,Q3,6122.331938,37767.35928,4482.575959,4282
2019,Q4,5661.580696,28685.12657,4401.100787,4141
2020P,Q1,3696.257306,21373.34581,2555.564919,2629
