,Total Visits (000s),Total Visits (000s),Total Visits (000s),Total Visits (000s),,Total Nights (000s),,,,,Total Spend (£m),Total Spend (£m),Total Spend (£m),Total Spend (£m),,Sample size,,,,
Year/Nights,1-3,4-7,8-14,15+,Total,1-3,4-7,8-14,15+,Total,1-3,4-7,8-14,15+,Total,1-3,4-7,8-14,15+,Total
2002,"5,417","3,429","1,531","1,226","11,603","11,036","16,141","12,250","35,976","75,402","£1,700","£1,772",£992,"£1,324","£5,788","9,888","6,563","3,211","2,697","22,359"
2003,"5,611","3,389","1,539","1,157","11,696","11,404","15,839","12,256","39,448","78,947","£1,640","£1,713",£959,"£1,558","£5,870","9,412","6,077","3,034","2,383","20,906"
2004,"6,201","4,181","1,620","1,388","13,389","12,519","19,511","12,936","45,271","90,237","£1,864","£2,052",£998,"£1,525","£6,439","10,643","7,021","3,089","2,556","23,309"
2005,"6,848","4,072","1,670","1,303","13,893","14,259","19,398","13,936","44,250","91,843","£2,155","£2,103","£1,077","£1,524","£6,859","11,332","6,960","3,195","2,507","23,994"
2006,"7,582","4,744","1,869","1,398","15,593","15,544","22,912","15,906","46,706","101,068","£2,395","£2,479","£1,216","£1,731","£7,822","11,558","7,078","3,175","2,395","24,206"
2007,"7,511","4,740","1,718","1,372","15,340","15,659","22,951","14,693","42,544","95,846","£2,660","£2,709","£1,199","£1,625","£8,192","10,360","6,499","2,642","2,095","21,596"
2008,"7,142","4,726","1,636","1,250","14,753","15,407","22,910","14,768","37,731","90,815","£2,655","£2,694","£1,292","£1,485","£8,126","8,540","5,573","2,197","1,687","17,997"
2009,"6,744","4,690","1,642","1,135","14,211","14,440","22,459","13,657","35,129","85,686","£2,667","£2,725","£1,229","£1,617","£8,238","10,293","7,535","3,022","2,225","23,075"
2010,"7,030","4,704","1,697","1,274","14,706","15,052","22,559","14,190","38,517","90,318","£2,885","£2,890","£1,286","£1,681","£8,741","10,319","7,495","3,123","2,522","23,459"
2011,"7,324","5,008","1,743","1,215","15,289","16,284","24,096","15,160","35,958","91,498","£3,125","£3,106","£1,497","£1,683","£9,411","9,161","6,520","2,612","1,908","20,201"
2012,"7,076","5,296","1,827","1,262","15,461","14,939","25,676","15,957","37,727","94,300","£2,957","£3,389","£1,793","£1,936","£10,075","8,719","6,631","2,844","2,187","20,381"
2013,"7,621","5,804","2,075","1,311","16,811","16,417","27,951","17,600","36,150","98,119","£3,271","£3,982","£2,017","£2,226","£11,496","9,304","7,339","3,104","2,088","21,835"
2014,"7,864","6,126","2,055","1,359","17,404","17,282","29,320","17,570","43,835","108,006","£3,386","£4,070","£1,855","£2,515","£11,825","8,734","7,113","2,882","1,996","20,725"
2015,"8,531","6,560","2,165","1,325","18,581","19,080","31,619","18,458","39,165","108,321","£3,548","£4,186","£2,078","£2,107","£11,919","8,855","6,918","2,705","1,728","20,206"
2016,"8,735","6,668","2,256","1,400","19,060","19,472","32,201","19,169","40,217","111,058","£3,539","£4,380","£1,969","£1,980","£11,869","8,635","6,770","2,702","1,693","19,800"
2017,"9,073","6,843","2,465","1,447","19,828","20,205","33,341","21,444","39,027","114,016","£3,740","£4,810","£2,749","£2,248","£13,547","7,777","6,348","2,776","1,737","18,638"
2018,"8,577","6,916","2,320","1,277","19,090","19,484","35,182","20,643","35,623","110,932","£3,510","£4,730","£2,170","£1,919","£12,329","5,804","5,114","2,254","1,303","14,475"
2019,"9,848","7,674","2,807","1,385","21,713","22,777","38,511","23,787","33,798","118,872","£4,568","£5,909","£3,257","£1,991","£15,725","6,323","5,215","2,365","1,176","15,079"
2020p,"1,805","1,211",424,256,"3,696","4,436","6,177","3,905","6,857","21,373",£837,£928,£515,£276,"£2,556","1,175",863,370,221,"2,629"
